frame,pipeline_ms,preprocess_ms,inference_ms,postprocess_ms,rss_mb,detections
1,10.531,0.411,9.266,0.205,474.05,5
2,10.765,0.427,9.548,0.192,474.11,5
3,10.386,0.414,9.153,0.224,474.11,5
4,10.62,0.414,9.363,0.252,474.72,5
5,10.821,0.39,9.587,0.2,475.2,3
6,10.16,0.413,8.873,0.204,475.2,6
7,11.187,0.405,9.985,0.195,476.98,6
8,11.494,0.457,10.194,0.201,477.17,6
9,11.641,0.428,10.304,0.255,478.73,5
10,11.969,0.452,10.664,0.197,478.73,5
11,11.308,0.429,10.012,0.216,478.73,5
12,11.492,0.442,10.204,0.206,478.73,5
13,11.675,0.437,10.397,0.199,478.73,5
14,11.498,0.439,10.207,0.214,478.73,5
15,11.366,0.432,10.065,0.212,478.75,5
16,11.735,0.454,10.446,0.194,478.75,6
17,11.675,0.437,10.388,0.206,478.75,6
18,11.46,0.444,10.141,0.204,478.75,6
19,11.844,0.443,10.542,0.208,481.2,6
20,11.402,0.438,10.133,0.183,481.22,7
21,11.982,0.428,10.652,0.233,481.22,6
22,10.626,0.427,9.409,0.202,481.22,5
23,10.527,0.401,9.338,0.202,481.23,4
24,10.686,0.384,9.501,0.212,482.8,4
25,10.886,0.432,9.663,0.192,482.8,4
26,10.471,0.411,9.262,0.201,482.8,5
27,10.475,0.385,9.274,0.219,482.81,4
28,10.88,0.403,9.668,0.199,482.81,6
29,10.462,0.445,9.22,0.206,482.83,5
30,10.723,0.428,9.477,0.212,484.7,5
31,10.683,0.463,9.414,0.208,484.7,5
32,10.932,0.413,9.65,0.211,484.7,5
33,10.671,0.421,9.45,0.207,485.12,5
34,10.634,0.411,9.414,0.211,485.27,5
35,10.472,0.421,9.288,0.179,485.28,4
36,10.718,0.434,9.497,0.199,485.28,4
37,10.546,0.407,9.327,0.21,485.28,5
38,10.497,0.419,9.293,0.199,485.28,5
39,10.581,0.412,9.365,0.211,485.28,4
40,10.704,0.41,9.471,0.222,485.28,5
41,10.61,0.405,9.415,0.191,485.28,4
42,10.451,0.386,9.268,0.204,485.28,6
43,10.799,0.399,9.556,0.217,485.28,6
44,10.524,0.442,9.294,0.191,485.28,5
